ligand_id,SMILES
135_6QHC_B_302,[H]C1=C([H])C(=[N+]([H])C(=O)c2c([H])c([H])c([H])c([H])c2[O-])C([H])=C([H])C1=C(N([H])[H])N([H])[H]
145_6ARM_A_201,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Oc2c([H])c([H])c([H])c([H])c2[N+](=O)[O-])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
147_2WGZ_A_1204,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Oc2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
147_4CCC_A_1001,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Oc2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
14N_4ICL_A_607,[H]c1c([H])c(N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1C(=O)[O-]
14X_4HBX_A_201,[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c2c1N([H])C(=O)N(C([H])([H])[H])C2([H])[H]
14Z_4HBW_A_202,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])[H])c([H])c2c1N([H])C(=O)N(C([H])([H])[H])C2([H])[H]
152_1NDF_B_6001,[H]O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
152_1XL8_A_613,[H]O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
152_5N3N_A_403,[H]O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
15G_4HGT_A_301,[H]c1nc(C([H])([H])Oc2c([H])c([H])c(F)c(F)c2[H])c([H])c(-c2c([H])c3c(n2[H])C([H])([H])C([H])([H])N([H])C3=O)c1OC([H])([H])[H]
15H_4HF4_A_1012,[H]O[C@@]([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N(c2nc([H])c([H])nc2Oc2c([H])c([H])c(N([H])c3nc4c([H])c([H])c([H])c([H])c4s3)c([H])c2[H])C([H])([H])C1([H])[H]
15J_4HEU_B_809,[H]OC([H])([H])C1([H])C([H])([H])C([H])([H])N(c2nc([H])c([H])c([H])c2Oc2c([H])c([H])c(N([H])c3nc4c([H])c([H])c([H])c([H])c4n3[H])c([H])c2[H])C([H])([H])C1([H])[H]
15T_4IVD_B_1201,[H]O[C@@]([H])(c1nc2c([H])nc3c(c([H])c([H])n3[H])c2n1[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C#N)C([H])([H])C1([H])[H])C([H])([H])[H]
15W_4HL5_A_1204,[H]Oc1c([H])c([H])c2c(=O)c([H])c(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])oc2c1[H]
15Z_4HLF_A_1205,[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H]
16F_3MRV_A_920,[H]Oc1c([H])c([H])c([H])c(/C([H])=N/N([H])C(=S)N([H])[C@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])c1[H]
16I_4BUV_A_2165,[H]c1sc(C(=O)N([H])c2c([H])c([H])c(-c3nc4c([H])c([H])c([H])c([H])c4c(=O)n3[H])c([H])c2[H])c([H])c1[H]
16S_4HLM_A_1204,[H]Oc1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H]
17H_2AMB_A_1001,[H]O[C@@]1(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])[C@]1(C([H])([H])C([H])([H])[H])C([H])=C([H])C1=C3C(=C([H])C(=O)C([H])([H])C3([H])[H])C([H])([H])C([H])([H])[C@]12[H]
17S_3MRX_A_998,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N([H])C(=S)N([H])/N=C(\[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
181_1U1D_C_5400,[H]OC([H])([H])C([H])([H])OC([H])([H])n1c([H])c(Sc2c([H])c([H])c([H])c([H])c2[H])c(=O)n([H])c1=O
183_1U1F_C_5300,[H]OC([H])([H])C([H])([H])OC([H])([H])n1c([H])c(C([H])([H])c2c([H])c([H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c(=O)n([H])c1=O
18F_4JV6_B_201,[H]c1c([H])c([H])c(-c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
18K_3SW4_A_299,[H]c1nc(N([H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])nc(-c2sc(N([H])[H])nc2C([H])([H])[H])c1[H]
18R_4HCT_A_701,[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(n2nc(-c3c([H])c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c4[H])c3[H])c3c(N([H])[H])nc([H])nc32)C1([H])[H]
